1,MANUTEN€ÇO ELTRICA COMPLEMENTAR DO BLOCO 02,,,"369.213,73 ",
001-001,COMPLEMENTO,,"0,00 ","1.856,80 ",
01-22-01-020 C H,"REMO€ÇO DE FORRO DE GESSO, DE FORMA MANUAL, SEM REAPROVEITAMENTO. AF_09/2023 CS: 97641",M2,"220,00 ","2,62 ","576,40 "
01-19-11-002 C H,"RODAP EM MARMORITE, ALTURA 10CM. AF_09/2020 CS: 101741",M,"60,00 ","21,34 ","1.280,40 "
001-002,FORRO,,"0,00 ","16.463,40 ",
63-19-01-303 O H,"FORRO ACéSTICO DE FIBRA MINERAL REMOVÖVEL, MODULA€ÇO 625 X 1250MM,APOIADO EM PERFIS METµLICOS TIPO T SUSPENSOS POR PERFIS RÖGIDOS,E=15MM",M2,"180,00 ","67,37 ","12.126,60 "
64-23-74-016 O H,"RODAP EM POLIESTIRENO BRANCO 2,40M, H=10CM SANTA LUZIA OU EQUIVALENTE TCNICO - FORNECIMENTO E INSTALA€ÇO",M,"60,00 ","72,28 ","4.336,80 "
001-003,ACABAMENTO,,"0,00 ","30.942,50 ",
62-23-65-080 O H,"REGULARIZA€ÇO DE BASE PARA PISOS C/ ARGAMASSA DE ALTA RESISTÒNCIA, TRA€O 1:3",M2,"150,00 ","51,85 ","7.777,50 "
01-19-03-008 C H,REVESTIMENTO CER¶MICO PARA PISO COM PLACAS TIPO ESMALTADA DE DIMENSåES 60X60 CMAPLICADA EM AMBIENTES DE µREA ENTRE 5 M2 E 10 M2. AF_02/2023_PE CS: 87256,M2,"150,00 ","53,25 ","7.987,50 "
63-21-05-040 O H,"REJUNTAMENTO DE PISO CER¶MICO, COM CIMENTO BRANCO PARA JUNTAS DE AT 3MM",M2,"150,00 ","11,22 ","1.683,00 "
01-18-02-002 C H,LIXAMENTO DE MASSA PARA MADEIRA. AF_01/2021 CS: 102194,M2,"200,00 ","7,39 ","1.478,00 "
64-23-74-017 O H,EMASSAMENTO DE PAREDES INTERNAS C/ MASSA ACRÖLICA DUAS DEMÇOS,M2,"200,00 ","17,12 ","3.424,00 "
64-23-74-173 O H,"APLICA€ÇO MANUAL DE PINTURA COM TINTA LµTEX ACRÖLICA CORAL OU EQUIVALENTE TCNICA, EM PAREDES EXTERNAS, DUAS DEMÇOS",M2,"350,00 ","24,55 ","8.592,50 "
001-004,INSTALAÇÕES ELÉTRICAS,,"0,00 ","130.385,17 ",
62-23-68-005 O H,"CAIXA DE MEDI€ÇO TC PADRÇO COELBA,DIMEN-SÇO (2,00 X 0,80 X 0,30)M - FORNECIMENTO E INSTALA€ÇO",UN,"1,00 ","1.855,20 ","1.855,20 "
64-23-74-014 O H,"QUADRO GERAL DE BAIXA TENSÇO - QGBT,COMACABAMENTO EM PINTURA ELETROSTµTICA ABASE DE RESINA EPàXI,IP54,BARRAMENTOS COM TERMOCONTRµTIL,CHAPA DE A€O 12(ESTRUTURA) E 14(FECHAMENTO) - INSTALADO",UN,"1,00 ","9.417,96 ","9.417,96 "
01-11-03-022 C H,"CABO DE COBRE FLEXÖVEL ISOLADO, 120 MMý, ANTI-CHAMA 0,6/1,0 KV, PARA REDE ENTERRADA DE DISTRIBUI€ÇO DE ENERGIA ELTRICA- FORNECIMENTO E INSTALA€ÇO. AF_12/2021CS: 92994",M,"600,00 ","104,13 ","62.478,00 "
