CODIGO,DESCRIÇÃO,UNIDADE,QUANTIDADE,VALOR,VALOR_TOTAL,CURVA
01-11-03-008 C H,"CABO DE COBRE FLEXÖVEL ISOLADO, 6 MMý, ANTI-CHAMA 0,6/1,0 KV, PARA CIRCUITOS TERMINAIS - FORNECIMENTO E INSTALA€ÇO. AF_03/2023 CS: 91931",M,"250,00 ","8,29 ","2.072,50 ",VAZIO
01-11-03-003 C H,"CABO DE COBRE FLEXÖVEL ISOLADO, 2,5 MMý, ANTI-CHAMA 450/750 V, PARA CIRCUITOS TERMINAIS - FORNECIMENTO E INSTALA€ÇO. AF_03/2023 CS: 91926",M,"750,00 ","3,57 ","2.677,50 ",VAZIO
63-21-05-014 O H,"QUADRO DE DISTRIBUI€ÇO DE LUZ EM CHAPA DE A€O DE SOBREPOR, AT 64 DIVISåES MODULARES, DIMENSåES EXTERNAS 973X405X95MM SEM BARRAMENTO",UN,"1,00 ","1.901,24 ","1.901,24 ",VAZIO
01-11-01-026 C H,"ELETRODUTO RÖGIDO ROSCµVEL, PVC, DN 25 MM (3/4), PARA CIRCUITOS TERMINAIS, INSTALADO EM FORRO - FORNECIMENTO E INSTALA€ÇO. AF_03/2023 CS: 91863",M,"150,00 ","9,08 ","1.362,00 ",VAZIO
63-21-03-026 O H,"ABRA€ADEIRA EM A€O TIPO D, COM CUNHA, PARA ELETRODUTOS DN 1, INCLUSIVE ACESSàRIOS DE FIXA€ÇO - FORNECIMENTO E INSTALA€ÇO",UN,"200,00 ","6,32 ","1.264,00 ",VAZIO
01-11-02-015 C H,"CURVA 90 GRAUS PARA ELETRODUTO, PVC, ROSCµVEL, DN 25 MM (3/4), PARA CIRCUITOS TERMINAIS, INSTALADA EM FORRO - FORNECIMENTO E INSTALA€ÇO. AF_03/2023 CS: 91890",UN,"22,00 ","11,35 ","249,70 ",VAZIO
01-11-02-002 C H,"LUVA PARA ELETRODUTO, PVC, ROSCµVEL, DN25 MM (3/4), PARA CIRCUITOS TERMINAIS, INSTALADA EM FORRO - FORNECIMENTO E INSTALA€ÇO. AF_03/2023 CS: 91875",UN,"35,00 ","7,09 ","248,15 ",VAZIO
64-23-74-160 O H,BOX RETO EM ALUMÖNIO DI¶METRO 1- FORNECIMENTO E INSTALA€ÇO,UN,"60,00 ","8,70 ","522,00 ",VAZIO
63-21-05-048 O H,DISPOSITIVO DE PROTE€ÇO CONTRA SURTO DETENSÇO DPS 20KA - 275V - CLAMPER OU SIMILAR - FORNECIMENTO E INSTALA€ÇO,UN,"4,00 ","89,67 ","358,68 ",VAZIO
62-23-68-040 U H,"ETIQUETA ADESIVA COM IDENTIFICA€ÇO DE VOLTAGEM CABO DE REDE E TV, ROTEADOR, SOM, FIOS, CONECTORES E ETC",UN,"14,00 ","0,80 ","11,20 ",VAZIO
64-23-74-164 O H,PARAFUSO CABE€A LENTILHA AUTO TRAV 1/4 X1/2,UN,"1.800,00 ","0,64 ","1.152,00 ",VAZIO
